Incubation time,T,Time,Add,Ash,CBC,CEC,NBC,PBC,OPBC,SSA,pHsoil,TP,OPsoil,TC,OC,Fertilizer type,Soil texture,ECsoil,P growth rate
42,500,,2,,31.4,20,0.108,0.0569,297,,8,,3.5,,9.3,1,3,180,0.75900277
42,500,,2,,31.4,20,0.108,0.0569,297,,8,0.185,3.5,,9.3,1,3,180,-0.077562327
42,500,,1,,31.4,20,0.108,0.0569,297,,7.6,0.354,5.5,,33.4,2,5,410,0.517976032
42,500,,1,,31.4,20,0.108,0.0569,297,,7.6,0.354,5.5,,33.4,2,5,410,0.283621838
42,500,,1,,31.4,20,0.108,0.0569,297,,8,0.185,3.5,,9.3,1,3,180,0.620498615
42,500,,1,,31.4,20,0.108,0.0569,297,,8,0.185,3.5,,9.3,1,3,180,-0.225761773
28,500,,2,,31.4,20,0.108,0.0569,297,,7.6,0.354,5.5,,33.4,2,5,410,-0.005268704
28,500,,2,,31.4,20,0.108,0.0569,297,,7.6,0.354,5.5,,33.4,2,5,410,-0.111696523
28,500,,2,,31.4,20,0.108,0.0569,297,,8,0.185,3.5,,9.3,1,3,180,0.447963801
28,500,,2,,31.4,20,0.108,0.0569,297,,8,0.185,3.5,,9.3,1,3,180,0.056561086
28,500,,1,,31.4,20,0.108,0.0569,297,,7.6,0.354,5.5,,33.4,2,5,410,-0.144362487
28,500,,1,,31.4,20,0.108,0.0569,297,,7.6,0.354,5.5,,33.4,2,5,410,-0.318229715
28,500,,1,,31.4,20,0.108,0.0569,297,,8,0.185,3.5,,9.3,1,3,180,0.142533937
28,500,,1,,31.4,20,0.108,0.0569,297,,8,0.185,3.5,,9.3,1,3,180,-0.260180995
14,500,,2,,31.4,20,0.108,0.0569,297,,7.6,0.354,5.5,,33.4,2,5,410,-0.032887975
14,500,,2,,31.4,20,0.108,0.0569,297,,7.6,0.354,5.5,,33.4,2,5,410,-0.108941418
14,500,,2,,31.4,20,0.108,0.0569,297,,8,,3.5,,9.3,1,3,180,1.175379427
14,500,,2,,31.4,20,0.108,0.0569,297,,8,,3.5,,9.3,1,3,180,1.074198988
14,500,,1,,31.4,20,0.108,0.0569,297,,7.6,0.354,5.5,,33.4,2,5,410,0
14,500,,1,,31.4,20,0.108,0.0569,297,,7.6,0.354,5.5,,33.4,2,5,410,-0.246659815
14,500,,1,,31.4,20,0.108,0.0569,297,,8,0.185,3.5,,9.3,1,3,180,0.939291737
14,500,,1,,31.4,20,0.108,0.0569,297,,8,0.185,3.5,,9.3,1,3,180,-0.151770658
80,300,4,3,9.9,56.3,,1.57,0.082,2570,,4.34,0.32,14,1.63,0.51,1,1,,0.457353893
80,600,4,3,22.2,59.2,,1.28,0.151,360,,4.34,,14,1.63,0.51,1,1,,1.62393327
80,600,4,3,2.7,67.7,,0.35,0.014,620,,4.34,0.32,14,1.63,0.51,1,1,,-0.381466619
80,600,4,1,22.2,59.2,,1.28,0.151,360,,4.34,0.32,14,1.63,0.51,1,1,,0.156682276
80,300,4,1,1,59.2,,0.39,0.012,230,,4.34,0.32,14,1.63,0.51,1,1,,-0.237533504
80,600,4,1,2.7,67.7,,0.35,0.014,620,,4.34,0.32,14,1.63,0.51,1,1,,-0.345957978
